"","sp","lon","lat","grupo"
"81","Aplastodiscus perviridis",-49.311944,-26.312222,"amphibians"
"82","Aplastodiscus perviridis",-49.378333,-26.250556,"amphibians"
"83","Aplastodiscus perviridis",-52.5317,-26.5581,"amphibians"
"84","Aplastodiscus perviridis",-50.5836,-29.4481,"amphibians"
"85","Aplastodiscus perviridis",-49.931667,-28.293889,"amphibians"
"86","Aplastodiscus perviridis",-44.566667,-22.633333,"amphibians"
"87","Aplastodiscus perviridis",-44.586579,-22.743167,"amphibians"
"88","Aplastodiscus perviridis",-44.569722,-22.64,"amphibians"
"89","Aplastodiscus perviridis",-49.2064,-25.5347,"amphibians"
"90","Aplastodiscus perviridis",-48.65883114,-16.63858255,"amphibians"
"91","Aplastodiscus perviridis",-47.45,-23.5,"amphibians"
"92","Aplastodiscus perviridis",-45.625,-23.0264,"amphibians"
"93","Aplastodiscus perviridis",-50.6156,-24.3239,"amphibians"
"94","Aplastodiscus perviridis",-49.1989,-25.9281,"amphibians"
"95","Aplastodiscus perviridis",-49.478611,-28.119722,"amphibians"
"96","Aplastodiscus perviridis",-49.591667,-28.015,"amphibians"
"97","Aplastodiscus perviridis",-49.580833,-27.976667,"amphibians"
"98","Aplastodiscus perviridis",-51.74,-27.0067,"amphibians"
"99","Bokermannohyla circumdata",-48.77,-22.19,"amphibians"
"100","Bokermannohyla circumdata",-46.1447,-22.7553,"amphibians"
"101","Bokermannohyla circumdata",-45.59,-22.73,"amphibians"
"102","Bokermannohyla circumdata",-45.53158,-22.699226,"amphibians"
"103","Bokermannohyla circumdata",-45.458441,-22.673752,"amphibians"
"104","Bokermannohyla circumdata",-45.44333,-23.5837,"amphibians"
"105","Bokermannohyla circumdata",-43.4075,-20.0747,"amphibians"
"106","Bokermannohyla circumdata",-43.1786,-22.505,"amphibians"
"107","Bokermannohyla circumdata",-47.71,-23.81,"amphibians"
"108","Bokermannohyla circumdata",-49.0633,-25.4417,"amphibians"
"109","Bokermannohyla circumdata",-39.5652778,-15.3916667,"amphibians"
"110","Bokermannohyla circumdata",-48.3653,-24.0992,"amphibians"
"111","Bokermannohyla circumdata",-44.569722,-22.64,"amphibians"
"112","Bokermannohyla circumdata",-49.2064,-25.5347,"amphibians"
"113","Bokermannohyla circumdata",-45.31,-23.22,"amphibians"
"114","Bokermannohyla circumdata",-47.5,-23.96,"amphibians"
"115","Bokermannohyla circumdata",-49.1989,-25.9281,"amphibians"
"116","Bokermannohyla circumdata",-45.0711,-23.4339,"amphibians"
"117","Bokermannohyla hylax",-48.788813,-22.16862,"amphibians"
"118","Bokermannohyla hylax",-48.500426,-27.61715,"amphibians"
"119","Bokermannohyla hylax",-48.4390111,-27.5600431,"amphibians"
"120","Bokermannohyla hylax",-48.812748,-25.790399,"amphibians"
"121","Bokermannohyla hylax",-47.258239,-24.435714,"amphibians"
"122","Bokermannohyla hylax",-48.600841,-24.455993,"amphibians"
"123","Bokermannohyla hylax",-48.954504,-26.245438,"amphibians"
"124","Bokermannohyla hylax",-38.143456,-12.477061,"amphibians"
"125","Bokermannohyla hylax",-48.841809,-25.499088,"amphibians"
"126","Bokermannohyla hylax",-47.333333,-23.816667,"amphibians"
"127","Bokermannohyla hylax",-45.843097,-23.579082,"amphibians"
"128","Bokermannohyla hylax",-48.7786,-27.6881,"amphibians"
"129","Bokermannohyla hylax",-39.569109,-12.727954,"amphibians"
"130","Bokermannohyla hylax",-46.6105,-23.5879,"amphibians"
"131","Bokermannohyla hylax",-47.9605,-24.136557,"amphibians"
"132","Bokermannohyla hylax",-47.45,-23.95,"amphibians"
"133","Ceratophrys aurita",-42.010364,-22.820487,"amphibians"
"134","Ceratophrys aurita",-38.990323,-12.510447,"amphibians"
"135","Ceratophrys aurita",-48.66042,-25.790478,"amphibians"
"136","Ceratophrys aurita",-46.920403,-24.220479,"amphibians"
